stimulus_id,image_path,source_id,condition_id,outline,shading,shading_region,material,outer_color,center_color,background_color,width_px,height_px,sha256
oc-274578-heads__oa-sf-ma-pbg,images/oc-274578-heads/background-black/oc-274578-heads__oa-sf-ma-pbg.png,oc-274578-heads,oa-sf-ma-pbg,ambiguous,figure,vase,ambiguous,black,gray,black,1024,1024,d014e9681287aff66332dd656924f0c4f3cf680baa4d42eb86e2049fdeb32d5b
oc-274578-heads__oa-sf-ma-pbw,images/oc-274578-heads/background-black/oc-274578-heads__oa-sf-ma-pbw.png,oc-274578-heads,oa-sf-ma-pbw,ambiguous,figure,vase,ambiguous,black,white,black,1024,1024,3464c4d22a0b73150b74615a8ff521adfd7acf8224d792bf197e887952616866
oc-274578-heads__oa-sn-ma-pbg,images/oc-274578-heads/background-black/oc-274578-heads__oa-sn-ma-pbg.png,oc-274578-heads,oa-sn-ma-pbg,ambiguous,none,none,ambiguous,black,gray,black,1024,1024,3406146cb7dafacfdf9cb63ade9caf9d8acc7ef92638284cfe73a437b458ec4b
oc-274578-heads__oa-sn-ma-pbw,images/oc-274578-heads/background-black/oc-274578-heads__oa-sn-ma-pbw.png,oc-274578-heads,oa-sn-ma-pbw,ambiguous,none,none,ambiguous,black,white,black,1024,1024,3eba2d061b9dd8d582745355f542a324786236c3d20f349e532c02884bc8586d
oc-274578-heads__oa-sn-mv-pbg,images/oc-274578-heads/background-black/oc-274578-heads__oa-sn-mv-pbg.png,oc-274578-heads,oa-sn-mv-pbg,ambiguous,none,none,vase,black,gray,black,1024,1024,17cfd6317488ed4d1ef19c2ae1146b7d95ba62b39396112b056354b58c1c776a
oc-274578-heads__oa-sn-mv-pbw,images/oc-274578-heads/background-black/oc-274578-heads__oa-sn-mv-pbw.png,oc-274578-heads,oa-sn-mv-pbw,ambiguous,none,none,vase,black,white,black,1024,1024,49640647917ffe00ffd2afb49ec2866fbf6ec31a4ed940ce4ac2dccfbd6377a8
oc-274578-heads__of-sf-ma-pgb,images/oc-274578-heads/background-black/oc-274578-heads__of-sf-ma-pgb.png,oc-274578-heads,of-sf-ma-pgb,face,figure,face,ambiguous,gray,black,black,1024,1024,05200c078712c43aec784eaa9f3984db2213c87cb9ade8734a12ee3c4b8c7c7a
oc-274578-heads__of-sf-ma-pwb,images/oc-274578-heads/background-black/oc-274578-heads__of-sf-ma-pwb.png,oc-274578-heads,of-sf-ma-pwb,face,figure,face,ambiguous,white,black,black,1024,1024,3c52d909f7e0eaddf5427e59c56c051763ee526cb18b145dbf90c62e61fcb5e7
oc-274578-heads__of-sn-ma-pgb,images/oc-274578-heads/background-black/oc-274578-heads__of-sn-ma-pgb.png,oc-274578-heads,of-sn-ma-pgb,face,none,none,ambiguous,gray,black,black,1024,1024,358f086feceeb9fe5f5909c8453e09f0bcc7602471820f8644e0c0666d666b6d
oc-274578-heads__of-sn-ma-pwb,images/oc-274578-heads/background-black/oc-274578-heads__of-sn-ma-pwb.png,oc-274578-heads,of-sn-ma-pwb,face,none,none,ambiguous,white,black,black,1024,1024,aea20999701c28f14c487f93a4809da47d43c05af5b1f58cf441d7bd9c527c98
oc-274578-heads__oa-sf-ma-pgb,images/oc-274578-heads/background-gray/oc-274578-heads__oa-sf-ma-pgb.png,oc-274578-heads,oa-sf-ma-pgb,ambiguous,figure,vase,ambiguous,gray,black,gray,1024,1024,796398be1c355a8b23ca0d2b38039039da043c9bac0be42f927ea2badb057065
oc-274578-heads__oa-sf-ma-pgw,images/oc-274578-heads/background-gray/oc-274578-heads__oa-sf-ma-pgw.png,oc-274578-heads,oa-sf-ma-pgw,ambiguous,figure,vase,ambiguous,gray,white,gray,1024,1024,d9b3b55d575cd71ea5ee4165c00f276ad6fa1de13a5dd2dc6c92350569965346
oc-274578-heads__oa-sn-ma-pgb,images/oc-274578-heads/background-gray/oc-274578-heads__oa-sn-ma-pgb.png,oc-274578-heads,oa-sn-ma-pgb,ambiguous,none,none,ambiguous,gray,black,gray,1024,1024,e7138345eb0a6c4d292691fc029e28d8c6056d77bc8969d99a7a433cccf7e1d2
oc-274578-heads__oa-sn-ma-pgw,images/oc-274578-heads/background-gray/oc-274578-heads__oa-sn-ma-pgw.png,oc-274578-heads,oa-sn-ma-pgw,ambiguous,none,none,ambiguous,gray,white,gray,1024,1024,542b568a0264d3eab2833cf8b0f4c9fea18c3a9da9fcba3f8dc6a52f6515ddbc
oc-274578-heads__oa-sn-mv-pgb,images/oc-274578-heads/background-gray/oc-274578-heads__oa-sn-mv-pgb.png,oc-274578-heads,oa-sn-mv-pgb,ambiguous,none,none,vase,gray,black,gray,1024,1024,55d53ae7300f84bcba7818f0bc2e20f585a661243e32cf24e5656411441894ee
oc-274578-heads__oa-sn-mv-pgw,images/oc-274578-heads/background-gray/oc-274578-heads__oa-sn-mv-pgw.png,oc-274578-heads,oa-sn-mv-pgw,ambiguous,none,none,vase,gray,white,gray,1024,1024,7e1fec40e2efd2014c9a62890a3939647c078d3bec92f5ed56f9283febe19480
oc-274578-heads__of-sf-ma-pbg,images/oc-274578-heads/background-gray/oc-274578-heads__of-sf-ma-pbg.png,oc-274578-heads,of-sf-ma-pbg,face,figure,face,ambiguous,black,gray,gray,1024,1024,7419e724966ebdf18c2adad376b332e75db443a33b0c92a860d75a23db19c39e
oc-274578-heads__of-sf-ma-pwg,images/oc-274578-heads/background-gray/oc-274578-heads__of-sf-ma-pwg.png,oc-274578-heads,of-sf-ma-pwg,face,figure,face,ambiguous,white,gray,gray,1024,1024,52749582e13431ce005bfb1659d043e6c2181892fab86fbe4a02c2dc62d37f10
oc-274578-heads__of-sn-ma-pbg,images/oc-274578-heads/background-gray/oc-274578-heads__of-sn-ma-pbg.png,oc-274578-heads,of-sn-ma-pbg,face,none,none,ambiguous,black,gray,gray,1024,1024,49b16b6549945394d9194226ba8476e46aa4e2e62274fd6fb160bebd90e780e9
oc-274578-heads__of-sn-ma-pwg,images/oc-274578-heads/background-gray/oc-274578-heads__of-sn-ma-pwg.png,oc-274578-heads,of-sn-ma-pwg,face,none,none,ambiguous,white,gray,gray,1024,1024,bf4c36143e289051f7361ea3b9db13554441e09ab854da0e24ce3de957506d8c
oc-274578-heads__oa-sf-ma-pwb,images/oc-274578-heads/background-white/oc-274578-heads__oa-sf-ma-pwb.png,oc-274578-heads,oa-sf-ma-pwb,ambiguous,figure,vase,ambiguous,white,black,white,1024,1024,491714e6e54a05fe16279bd872ed3b5d3e89543309db4118af93b5e5cc5bde6d
oc-274578-heads__oa-sf-ma-pwg,images/oc-274578-heads/background-white/oc-274578-heads__oa-sf-ma-pwg.png,oc-274578-heads,oa-sf-ma-pwg,ambiguous,figure,vase,ambiguous,white,gray,white,1024,1024,7a48965a8f3336b8b732de94aa61f981204f967bf27b851923a066064dcf5213
oc-274578-heads__oa-sn-ma-pwb,images/oc-274578-heads/background-white/oc-274578-heads__oa-sn-ma-pwb.png,oc-274578-heads,oa-sn-ma-pwb,ambiguous,none,none,ambiguous,white,black,white,1024,1024,ca258e899d54955a3179f8ba6692918758493e13850845502f8c9c1294887e4c
oc-274578-heads__oa-sn-ma-pwg,images/oc-274578-heads/background-white/oc-274578-heads__oa-sn-ma-pwg.png,oc-274578-heads,oa-sn-ma-pwg,ambiguous,none,none,ambiguous,white,gray,white,1024,1024,92a92ecfb3656dc87f72d50a7ffc5f695de10b70f8c0ac757a02be5b88b095d1
oc-274578-heads__oa-sn-mv-pwb,images/oc-274578-heads/background-white/oc-274578-heads__oa-sn-mv-pwb.png,oc-274578-heads,oa-sn-mv-pwb,ambiguous,none,none,vase,white,black,white,1024,1024,83a3e347df6ca67ffd706cefba6e910d7e7ba9fe29a0ced0c3cc0be4e5211539
oc-274578-heads__oa-sn-mv-pwg,images/oc-274578-heads/background-white/oc-274578-heads__oa-sn-mv-pwg.png,oc-274578-heads,oa-sn-mv-pwg,ambiguous,none,none,vase,white,gray,white,1024,1024,8be5ccbdcbb2b8f4814cce58904fa4c4eaa6feb2130ecbef5f3d639f0dbd01a8
oc-274578-heads__of-sf-ma-pbw,images/oc-274578-heads/background-white/oc-274578-heads__of-sf-ma-pbw.png,oc-274578-heads,of-sf-ma-pbw,face,figure,face,ambiguous,black,white,white,1024,1024,569705aad940e70ef1593c3bd5d8fa893dedf3cef36018edbf25573d3ddc83c5
oc-274578-heads__of-sf-ma-pgw,images/oc-274578-heads/background-white/oc-274578-heads__of-sf-ma-pgw.png,oc-274578-heads,of-sf-ma-pgw,face,figure,face,ambiguous,gray,white,white,1024,1024,33115f37350c7bbf662f93699fe15b2c0aa821afe17e601f9873284347f8b856
