stimulus_id,base_id,source_id,source_sha256,source_license,combination_id,compact_id,content,outline,shading,material,polarity,design_tag,is_conflict,face_cues,vase_cues,figure_region,figure_color,background_color,third_color,shade_color,content_face_accent_side,shadow_dx,shadow_dy,shadow_pair_mirrored,shadow_seed,seed,config_version,png_path,svg_path,file_sha256,svg_sha256,mean_luminance,rms_contrast,edge_energy,center_area_ratio,path_length,convexity_proxy,params_json
wm-cc0-classic__cf-oa-sn-ma-pbg,wm-cc0-classic,wm-cc0-classic,596EEB6B073D2C83ECB93EDF53BF7EB1B7ADF8A7511997D49E7535B276479706,CC0-1.0,content-face__outline-ambiguous__shading-none__material-ambiguous__polarity-outer-black_center-gray,cf-oa-sn-ma-pbg,face,ambiguous,none,ambiguous,outer-black_center-gray,face,False,content,,vase,gray,black,white,,right,0.0,0.0,False,6537755661355882126,78108,v1,png/wm-cc0-classic__cf-oa-sn-ma-pbg.png,svg/wm-cc0-classic__cf-oa-sn-ma-pbg.svg,25ec0f536e30ef0a35b724eeec4c6b61c55e917701163dcd40ebde7898ec9f4d,3a19e2d094a39c0378f81706d2a114fb5853ae0a487e7482bdfac9f0540d3d7a,0.4495244493671493,0.7800386208380077,0.0009118364323979836,0.24389069829301963,2.059891247081372,0.4555898515692527,"{""fixation_baked_in"":false,""palette_values"":{""black"":24,""gray"":133,""white"":232},""render"":{""background_color"":""black"",""content_face_accent_side"":""right"",""figure_color"":""gray"",""figure_region"":""vase"",""fixation_baked_in"":false,""shade_color"":"""",""shadow_dx"":0.0,""shadow_dy"":0.0,""shadow_max_radius"":0.065,""shadow_min_abs_component"":0.02,""shadow_pair_mirrored"":false,""shadow_seed"":6537755661355882126,""third_color"":""white""}}"
wm-cc0-classic__cf-oa-sn-ma-pbw,wm-cc0-classic,wm-cc0-classic,596EEB6B073D2C83ECB93EDF53BF7EB1B7ADF8A7511997D49E7535B276479706,CC0-1.0,content-face__outline-ambiguous__shading-none__material-ambiguous__polarity-outer-black_center-white,cf-oa-sn-ma-pbw,face,ambiguous,none,ambiguous,outer-black_center-white,face,False,content,,vase,white,black,gray,,right,0.0,0.0,False,16672781121864907757,78108,v1,png/wm-cc0-classic__cf-oa-sn-ma-pbw.png,svg/wm-cc0-classic__cf-oa-sn-ma-pbw.svg,f5944e894f183f4645917834cf66d24997d5e2f37b58d596872d6dd158536ffb,2b95d067d8a04b3c7ba36fb0e464de096358f781f40f199ddeaac9c9fc33c9e0,0.4245326958450617,0.7774084676656892,0.0012662930748423514,0.24389069829301963,2.059891247081372,0.4555898515692527,"{""fixation_baked_in"":false,""palette_values"":{""black"":24,""gray"":133,""white"":232},""render"":{""background_color"":""black"",""content_face_accent_side"":""right"",""figure_color"":""white"",""figure_region"":""vase"",""fixation_baked_in"":false,""shade_color"":"""",""shadow_dx"":0.0,""shadow_dy"":0.0,""shadow_max_radius"":0.065,""shadow_min_abs_component"":0.02,""shadow_pair_mirrored"":false,""shadow_seed"":16672781121864907757,""third_color"":""gray""}}"
wm-cc0-classic__cf-oa-sn-ma-pgb,wm-cc0-classic,wm-cc0-classic,596EEB6B073D2C83ECB93EDF53BF7EB1B7ADF8A7511997D49E7535B276479706,CC0-1.0,content-face__outline-ambiguous__shading-none__material-ambiguous__polarity-outer-gray_center-black,cf-oa-sn-ma-pgb,face,ambiguous,none,ambiguous,outer-gray_center-black,face,False,content,,vase,black,gray,white,,right,0.0,0.0,False,11053449214504062205,78108,v1,png/wm-cc0-classic__cf-oa-sn-ma-pgb.png,svg/wm-cc0-classic__cf-oa-sn-ma-pgb.svg,486f1cd896b982dc6213cf7088f447dc1543964a67ac95e3ed0ec63742e7b6e0,3d748692cfe5fc50345d8ee64702306d96c008b3d3f797d72c028ec428f3d5aa,0.5370034161735984,0.5603862356409728,0.001067360557064957,0.24389069829301963,2.059891247081372,0.4555898515692527,"{""fixation_baked_in"":false,""palette_values"":{""black"":24,""gray"":133,""white"":232},""render"":{""background_color"":""gray"",""content_face_accent_side"":""right"",""figure_color"":""black"",""figure_region"":""vase"",""fixation_baked_in"":false,""shade_color"":"""",""shadow_dx"":0.0,""shadow_dy"":0.0,""shadow_max_radius"":0.065,""shadow_min_abs_component"":0.02,""shadow_pair_mirrored"":false,""shadow_seed"":11053449214504062205,""third_color"":""white""}}"
wm-cc0-classic__cf-oa-sn-ma-pgw,wm-cc0-classic,wm-cc0-classic,596EEB6B073D2C83ECB93EDF53BF7EB1B7ADF8A7511997D49E7535B276479706,CC0-1.0,content-face__outline-ambiguous__shading-none__material-ambiguous__polarity-outer-gray_center-white,cf-oa-sn-ma-pgw,face,ambiguous,none,ambiguous,outer-gray_center-white,face,False,content,,vase,white,gray,black,,right,0.0,0.0,False,18398718787172018233,78108,v1,png/wm-cc0-classic__cf-oa-sn-ma-pgw.png,svg/wm-cc0-classic__cf-oa-sn-ma-pgw.svg,c8c23ea8f332f75c9c2d1fd4a60cdbd58ea2af57a7d0ee6b098a04b6698ad726,67e3162988e82c3be6d23346143d82a0773a1e315d13df36cb2a458cebeef0b3,0.4844984877343272,0.624294266998834,0.001034613808866655,0.24389069829301963,2.059891247081372,0.4555898515692527,"{""fixation_baked_in"":false,""palette_values"":{""black"":24,""gray"":133,""white"":232},""render"":{""background_color"":""gray"",""content_face_accent_side"":""right"",""figure_color"":""white"",""figure_region"":""vase"",""fixation_baked_in"":false,""shade_color"":"""",""shadow_dx"":0.0,""shadow_dy"":0.0,""shadow_max_radius"":0.065,""shadow_min_abs_component"":0.02,""shadow_pair_mirrored"":false,""shadow_seed"":18398718787172018233,""third_color"":""black""}}"
wm-cc0-classic__cf-oa-sn-ma-pwb,wm-cc0-classic,wm-cc0-classic,596EEB6B073D2C83ECB93EDF53BF7EB1B7ADF8A7511997D49E7535B276479706,CC0-1.0,content-face__outline-ambiguous__shading-none__material-ambiguous__polarity-outer-white_center-black,cf-oa-sn-ma-pwb,face,ambiguous,none,ambiguous,outer-white_center-black,face,False,content,,vase,black,white,gray,,right,0.0,0.0,False,925776035248934195,78108,v1,png/wm-cc0-classic__cf-oa-sn-ma-pwb.png,svg/wm-cc0-classic__cf-oa-sn-ma-pwb.svg,b2c07750667c995beb4a0a6317b82b6f5c600dbf677e7b80bf1de0d43b95527d,981749eec89399c1eb483f30e59ec811c7d9dd2ffcc122caa1b3dfc20fa2a506,0.5914675993077896,0.552813609557939,0.0012730932426734134,0.24389069829301963,2.059891247081372,0.4555898515692527,"{""fixation_baked_in"":false,""palette_values"":{""black"":24,""gray"":133,""white"":232},""render"":{""background_color"":""white"",""content_face_accent_side"":""right"",""figure_color"":""black"",""figure_region"":""vase"",""fixation_baked_in"":false,""shade_color"":"""",""shadow_dx"":0.0,""shadow_dy"":0.0,""shadow_max_radius"":0.065,""shadow_min_abs_component"":0.02,""shadow_pair_mirrored"":false,""shadow_seed"":925776035248934195,""third_color"":""gray""}}"
wm-cc0-classic__cf-oa-sn-ma-pwg,wm-cc0-classic,wm-cc0-classic,596EEB6B073D2C83ECB93EDF53BF7EB1B7ADF8A7511997D49E7535B276479706,CC0-1.0,content-face__outline-ambiguous__shading-none__material-ambiguous__polarity-outer-white_center-gray,cf-oa-sn-ma-pwg,face,ambiguous,none,ambiguous,outer-white_center-gray,face,False,content,,vase,gray,white,black,,right,0.0,0.0,False,4229972818563491727,78108,v1,png/wm-cc0-classic__cf-oa-sn-ma-pwg.png,svg/wm-cc0-classic__cf-oa-sn-ma-pwg.svg,d666eec1d31db231e8f3698d304871e5b43c43ca5ff67e394b40a2a0ab551585,15cd62af0188fb2a9731e27f4ce885cfa8f3ac7d9973c0e94a0e9fe6cc64685f,0.5639521393121458,0.6190190215274148,0.0008933545008912655,0.24389069829301963,2.059891247081372,0.4555898515692527,"{""fixation_baked_in"":false,""palette_values"":{""black"":24,""gray"":133,""white"":232},""render"":{""background_color"":""white"",""content_face_accent_side"":""right"",""figure_color"":""gray"",""figure_region"":""vase"",""fixation_baked_in"":false,""shade_color"":"""",""shadow_dx"":0.0,""shadow_dy"":0.0,""shadow_max_radius"":0.065,""shadow_min_abs_component"":0.02,""shadow_pair_mirrored"":false,""shadow_seed"":4229972818563491727,""third_color"":""black""}}"
wm-cc0-classic__cf-oa-sn-mv-pbg,wm-cc0-classic,wm-cc0-classic,596EEB6B073D2C83ECB93EDF53BF7EB1B7ADF8A7511997D49E7535B276479706,CC0-1.0,content-face__outline-ambiguous__shading-none__material-vase__polarity-outer-black_center-gray,cf-oa-sn-mv-pbg,face,ambiguous,none,vase,outer-black_center-gray,conflict,True,content,material,vase,gray,black,white,,right,0.0,0.0,False,11399679738863120094,78108,v1,png/wm-cc0-classic__cf-oa-sn-mv-pbg.png,svg/wm-cc0-classic__cf-oa-sn-mv-pbg.svg,93fefb762bf9e66a7abf6ae16a49f84f459c17b9d5987b9061242ecb0b5180b8,4344420b53ccdf2b42e27f2200589f52112878a2774194533e6caaf25e15c3fe,0.47213969511144316,0.7768741417303244,0.0026361141658520692,0.24389069829301963,2.059891247081372,0.4555898515692527,"{""fixation_baked_in"":false,""palette_values"":{""black"":24,""gray"":133,""white"":232},""render"":{""background_color"":""black"",""content_face_accent_side"":""right"",""figure_color"":""gray"",""figure_region"":""vase"",""fixation_baked_in"":false,""shade_color"":"""",""shadow_dx"":0.0,""shadow_dy"":0.0,""shadow_max_radius"":0.065,""shadow_min_abs_component"":0.02,""shadow_pair_mirrored"":false,""shadow_seed"":11399679738863120094,""third_color"":""white""}}"
wm-cc0-classic__cf-oa-sn-mv-pbw,wm-cc0-classic,wm-cc0-classic,596EEB6B073D2C83ECB93EDF53BF7EB1B7ADF8A7511997D49E7535B276479706,CC0-1.0,content-face__outline-ambiguous__shading-none__material-vase__polarity-outer-black_center-white,cf-oa-sn-mv-pbw,face,ambiguous,none,vase,outer-black_center-white,conflict,True,content,material,vase,white,black,gray,,right,0.0,0.0,False,18316512921193512292,78108,v1,png/wm-cc0-classic__cf-oa-sn-mv-pbw.png,svg/wm-cc0-classic__cf-oa-sn-mv-pbw.svg,11a2d267b25c17814936bae8e997bb323a31fb2042ddcab726e768c80b4f01d9,fb62e6fc3e1c5557e3b0622b5bbaa21f93e8e15f83c46f3d31fc374378b8d515,0.3972393783868528,0.7451206190789537,0.0019785456108763148,0.24389069829301963,2.059891247081372,0.4555898515692527,"{""fixation_baked_in"":false,""palette_values"":{""black"":24,""gray"":133,""white"":232},""render"":{""background_color"":""black"",""content_face_accent_side"":""right"",""figure_color"":""white"",""figure_region"":""vase"",""fixation_baked_in"":false,""shade_color"":"""",""shadow_dx"":0.0,""shadow_dy"":0.0,""shadow_max_radius"":0.065,""shadow_min_abs_component"":0.02,""shadow_pair_mirrored"":false,""shadow_seed"":18316512921193512292,""third_color"":""gray""}}"
wm-cc0-classic__cf-oa-sn-mv-pgb,wm-cc0-classic,wm-cc0-classic,596EEB6B073D2C83ECB93EDF53BF7EB1B7ADF8A7511997D49E7535B276479706,CC0-1.0,content-face__outline-ambiguous__shading-none__material-vase__polarity-outer-gray_center-black,cf-oa-sn-mv-pgb,face,ambiguous,none,vase,outer-gray_center-black,conflict,True,content,material,vase,black,gray,white,,right,0.0,0.0,False,13931403291596237075,78108,v1,png/wm-cc0-classic__cf-oa-sn-mv-pgb.png,svg/wm-cc0-classic__cf-oa-sn-mv-pgb.svg,4dedca3b336b36b0eba85d500a6a10fc894f03ed615cddeff721914fd1e10138,d701b5039165543312452f50eca11b62dfe5c3c4a11f5601d3573ced42e2b207,0.5741563983992035,0.4377379059912082,0.0021065452467032755,0.24389069829301963,2.059891247081372,0.4555898515692527,"{""fixation_baked_in"":false,""palette_values"":{""black"":24,""gray"":133,""white"":232},""render"":{""background_color"":""gray"",""content_face_accent_side"":""right"",""figure_color"":""black"",""figure_region"":""vase"",""fixation_baked_in"":false,""shade_color"":"""",""shadow_dx"":0.0,""shadow_dy"":0.0,""shadow_max_radius"":0.065,""shadow_min_abs_component"":0.02,""shadow_pair_mirrored"":false,""shadow_seed"":13931403291596237075,""third_color"":""white""}}"
wm-cc0-classic__cf-oa-sn-mv-pgw,wm-cc0-classic,wm-cc0-classic,596EEB6B073D2C83ECB93EDF53BF7EB1B7ADF8A7511997D49E7535B276479706,CC0-1.0,content-face__outline-ambiguous__shading-none__material-vase__polarity-outer-gray_center-white,cf-oa-sn-mv-pgw,face,ambiguous,none,vase,outer-gray_center-white,conflict,True,content,material,vase,white,gray,black,,right,0.0,0.0,False,5917138190231548300,78108,v1,png/wm-cc0-classic__cf-oa-sn-mv-pgw.png,svg/wm-cc0-classic__cf-oa-sn-mv-pgw.svg,26f22a913153ee02af5959abdf6f5a82ec728abff64db85bca8b3969599f2d46,c1935c1325395e51f77aaab1f65443a7c94a2645a7d0a8cae345852e88def09f,0.45709606993432145,0.5929965774319262,0.001763918238360838,0.24389069829301963,2.059891247081372,0.4555898515692527,"{""fixation_baked_in"":false,""palette_values"":{""black"":24,""gray"":133,""white"":232},""render"":{""background_color"":""gray"",""content_face_accent_side"":""right"",""figure_color"":""white"",""figure_region"":""vase"",""fixation_baked_in"":false,""shade_color"":"""",""shadow_dx"":0.0,""shadow_dy"":0.0,""shadow_max_radius"":0.065,""shadow_min_abs_component"":0.02,""shadow_pair_mirrored"":false,""shadow_seed"":5917138190231548300,""third_color"":""black""}}"
