stimulus_id,base_id,source_id,source_sha256,source_license,combination_id,compact_id,outline,shading,material,polarity,design_tag,face_cues,vase_cues,figure_region,figure_color,background_color,third_color,shade_color,shadow_dx,shadow_dy,shadow_pair_mirrored,shadow_seed,seed,config_version,png_path,svg_path,file_sha256,svg_sha256,mean_luminance,rms_contrast,edge_energy,center_area_ratio,path_length,convexity_proxy,params_json
wm-cc0-classic__oa-sn-ma-pbg,wm-cc0-classic,wm-cc0-classic,596EEB6B073D2C83ECB93EDF53BF7EB1B7ADF8A7511997D49E7535B276479706,CC0-1.0,outline-ambiguous__shading-none__material-ambiguous__polarity-outer-black_center-gray,oa-sn-ma-pbg,ambiguous,none,ambiguous,outer-black_center-gray,ambiguous,,,vase,gray,black,white,,0.0,0.0,False,15627474690693779712,78108,v2,png/wm-cc0-classic__oa-sn-ma-pbg.png,svg/wm-cc0-classic__oa-sn-ma-pbg.svg,f601528820c1ea85863cde7342d2ab101290cee7e5819182cbbfdc6fb85b3d51,f89d4a4ab228de208cad4d455aec51f4a1a78aba614300cead1527ce51565463,0.2747631596583946,0.6793469369180306,0.0007428523553849691,0.24389069829301963,2.059891247081372,0.4555898515692527,"{""fixation_baked_in"":false,""material_value_ranges"":{""black"":[20,58],""gray"":[103,186],""white"":[132,244]},""palette_values"":{""black"":43,""gray"":154,""white"":201},""render"":{""background_color"":""black"",""figure_color"":""gray"",""figure_region"":""vase"",""fixation_baked_in"":false,""shade_color"":"""",""shadow_dx"":0.0,""shadow_dy"":0.0,""shadow_max_radius"":0.065,""shadow_min_abs_component"":0.02,""shadow_pair_mirrored"":false,""shadow_seed"":15627474690693779712,""third_color"":""white""}}"
wm-cc0-classic__oa-sn-ma-pbw,wm-cc0-classic,wm-cc0-classic,596EEB6B073D2C83ECB93EDF53BF7EB1B7ADF8A7511997D49E7535B276479706,CC0-1.0,outline-ambiguous__shading-none__material-ambiguous__polarity-outer-black_center-white,oa-sn-ma-pbw,ambiguous,none,ambiguous,outer-black_center-white,ambiguous,,,vase,white,black,gray,,0.0,0.0,False,16018775619577348621,78108,v2,png/wm-cc0-classic__oa-sn-ma-pbw.png,svg/wm-cc0-classic__oa-sn-ma-pbw.svg,7e07629a75f96926400f8e1b34d0dce4d0f4b0a8cf68c29fa8c7d6d44059b4d0,874ee69149b8955684a216b2d1f418870c65faae0ec0449e1347334c8c56f3d1,0.31970031962675205,0.8310723250967427,0.0010574008287332526,0.24389069829301963,2.059891247081372,0.4555898515692527,"{""fixation_baked_in"":false,""material_value_ranges"":{""black"":[20,58],""gray"":[103,186],""white"":[132,244]},""palette_values"":{""black"":43,""gray"":154,""white"":201},""render"":{""background_color"":""black"",""figure_color"":""white"",""figure_region"":""vase"",""fixation_baked_in"":false,""shade_color"":"""",""shadow_dx"":0.0,""shadow_dy"":0.0,""shadow_max_radius"":0.065,""shadow_min_abs_component"":0.02,""shadow_pair_mirrored"":false,""shadow_seed"":16018775619577348621,""third_color"":""gray""}}"
wm-cc0-classic__oa-sn-ma-pgb,wm-cc0-classic,wm-cc0-classic,596EEB6B073D2C83ECB93EDF53BF7EB1B7ADF8A7511997D49E7535B276479706,CC0-1.0,outline-ambiguous__shading-none__material-ambiguous__polarity-outer-gray_center-black,oa-sn-ma-pgb,ambiguous,none,ambiguous,outer-gray_center-black,ambiguous,,,vase,black,gray,white,,0.0,0.0,False,5226716024268319806,78108,v2,png/wm-cc0-classic__oa-sn-ma-pgb.png,svg/wm-cc0-classic__oa-sn-ma-pgb.svg,a15216d76b69c02d2bb8928c8427501cc2673d6410c769e45edc97839d196c97,fe05d9685bf5757b653e3dc0946b5ce1bbc2122dd437f569654e6377d5f8db06,0.4977900112376492,0.37497235174535243,0.0007428486118298736,0.24389069829301963,2.059891247081372,0.4555898515692527,"{""fixation_baked_in"":false,""material_value_ranges"":{""black"":[20,58],""gray"":[103,186],""white"":[132,244]},""palette_values"":{""black"":43,""gray"":154,""white"":201},""render"":{""background_color"":""gray"",""figure_color"":""black"",""figure_region"":""vase"",""fixation_baked_in"":false,""shade_color"":"""",""shadow_dx"":0.0,""shadow_dy"":0.0,""shadow_max_radius"":0.065,""shadow_min_abs_component"":0.02,""shadow_pair_mirrored"":false,""shadow_seed"":5226716024268319806,""third_color"":""white""}}"
wm-cc0-classic__oa-sn-ma-pgw,wm-cc0-classic,wm-cc0-classic,596EEB6B073D2C83ECB93EDF53BF7EB1B7ADF8A7511997D49E7535B276479706,CC0-1.0,outline-ambiguous__shading-none__material-ambiguous__polarity-outer-gray_center-white,oa-sn-ma-pgw,ambiguous,none,ambiguous,outer-gray_center-white,ambiguous,,,vase,white,gray,black,,0.0,0.0,False,3536365928541672759,78108,v2,png/wm-cc0-classic__oa-sn-ma-pgw.png,svg/wm-cc0-classic__oa-sn-ma-pgw.svg,6c0025cdf94212b846b1b4155abf63141689d321a8c87d6bcbf829218dd6838a,2c0a39034fc27ea22320372317551bb8b28d551ccdb7c672d3acbc014121c3c1,0.6488584331437652,0.12180508910101956,0.00031454847334828364,0.24389069829301963,2.059891247081372,0.4555898515692527,"{""fixation_baked_in"":false,""material_value_ranges"":{""black"":[20,58],""gray"":[103,186],""white"":[132,244]},""palette_values"":{""black"":43,""gray"":154,""white"":201},""render"":{""background_color"":""gray"",""figure_color"":""white"",""figure_region"":""vase"",""fixation_baked_in"":false,""shade_color"":"""",""shadow_dx"":0.0,""shadow_dy"":0.0,""shadow_max_radius"":0.065,""shadow_min_abs_component"":0.02,""shadow_pair_mirrored"":false,""shadow_seed"":3536365928541672759,""third_color"":""black""}}"
wm-cc0-classic__oa-sn-ma-pwb,wm-cc0-classic,wm-cc0-classic,596EEB6B073D2C83ECB93EDF53BF7EB1B7ADF8A7511997D49E7535B276479706,CC0-1.0,outline-ambiguous__shading-none__material-ambiguous__polarity-outer-white_center-black,oa-sn-ma-pwb,ambiguous,none,ambiguous,outer-white_center-black,ambiguous,,,vase,black,white,gray,,0.0,0.0,False,15991372533490846379,78108,v2,png/wm-cc0-classic__oa-sn-ma-pwb.png,svg/wm-cc0-classic__oa-sn-ma-pwb.svg,8aa4ff7211b565c84d56fb5336148487263bbcf46cf4434968a1c196defca7a0,50fe5c6ffe2db743a1875959523ad811b21822edad8bf1b000593a33776a80de,0.6371624254712872,0.41699585120678107,0.0010574008287332526,0.24389069829301963,2.059891247081372,0.4555898515692527,"{""fixation_baked_in"":false,""material_value_ranges"":{""black"":[20,58],""gray"":[103,186],""white"":[132,244]},""palette_values"":{""black"":43,""gray"":154,""white"":201},""render"":{""background_color"":""white"",""figure_color"":""black"",""figure_region"":""vase"",""fixation_baked_in"":false,""shade_color"":"""",""shadow_dx"":0.0,""shadow_dy"":0.0,""shadow_max_radius"":0.065,""shadow_min_abs_component"":0.02,""shadow_pair_mirrored"":false,""shadow_seed"":15991372533490846379,""third_color"":""gray""}}"
wm-cc0-classic__oa-sn-ma-pwg,wm-cc0-classic,wm-cc0-classic,596EEB6B073D2C83ECB93EDF53BF7EB1B7ADF8A7511997D49E7535B276479706,CC0-1.0,outline-ambiguous__shading-none__material-ambiguous__polarity-outer-white_center-gray,oa-sn-ma-pwg,ambiguous,none,ambiguous,outer-white_center-gray,ambiguous,,,vase,gray,white,black,,0.0,0.0,False,13693714625742037616,78108,v2,png/wm-cc0-classic__oa-sn-ma-pwg.png,svg/wm-cc0-classic__oa-sn-ma-pwg.svg,276d16b2e0fa2f96fe5105dd5f26c120e4a4dd475c13585508b109e0944d805d,b7d0abb52ef02ca159e515ecbc0064bf9ad0432059aebb52c050889c3aa2d04d,0.7432933059393192,0.10633311685911417,0.0003145409862380925,0.24389069829301963,2.059891247081372,0.4555898515692527,"{""fixation_baked_in"":false,""material_value_ranges"":{""black"":[20,58],""gray"":[103,186],""white"":[132,244]},""palette_values"":{""black"":43,""gray"":154,""white"":201},""render"":{""background_color"":""white"",""figure_color"":""gray"",""figure_region"":""vase"",""fixation_baked_in"":false,""shade_color"":"""",""shadow_dx"":0.0,""shadow_dy"":0.0,""shadow_max_radius"":0.065,""shadow_min_abs_component"":0.02,""shadow_pair_mirrored"":false,""shadow_seed"":13693714625742037616,""third_color"":""black""}}"
wm-cc0-classic__oa-sn-mv-pbg,wm-cc0-classic,wm-cc0-classic,596EEB6B073D2C83ECB93EDF53BF7EB1B7ADF8A7511997D49E7535B276479706,CC0-1.0,outline-ambiguous__shading-none__material-vase__polarity-outer-black_center-gray,oa-sn-mv-pbg,ambiguous,none,vase,outer-black_center-gray,vase,,material,vase,gray,black,white,,0.0,0.0,False,18021958992405544870,78108,v2,png/wm-cc0-classic__oa-sn-mv-pbg.png,svg/wm-cc0-classic__oa-sn-mv-pbg.svg,9269adb328d3c789306e7a95823a1b2f83204753ed505c22ff3586e7449cde43,2e638c08bb179a9b78bc14b5dd49404822c0897d7e36130984630092d6a6d159,0.27590737436331947,0.7001880638321049,0.0008879188588925306,0.24389069829301963,2.059891247081372,0.4555898515692527,"{""fixation_baked_in"":false,""material_value_ranges"":{""black"":[20,58],""gray"":[103,186],""white"":[132,244]},""palette_values"":{""black"":43,""gray"":154,""white"":201},""render"":{""background_color"":""black"",""figure_color"":""gray"",""figure_region"":""vase"",""fixation_baked_in"":false,""shade_color"":"""",""shadow_dx"":0.0,""shadow_dy"":0.0,""shadow_max_radius"":0.065,""shadow_min_abs_component"":0.02,""shadow_pair_mirrored"":false,""shadow_seed"":18021958992405544870,""third_color"":""white""}}"
wm-cc0-classic__oa-sn-mv-pbw,wm-cc0-classic,wm-cc0-classic,596EEB6B073D2C83ECB93EDF53BF7EB1B7ADF8A7511997D49E7535B276479706,CC0-1.0,outline-ambiguous__shading-none__material-vase__polarity-outer-black_center-white,oa-sn-mv-pbw,ambiguous,none,vase,outer-black_center-white,vase,,material,vase,white,black,gray,,0.0,0.0,False,4519620013403108661,78108,v2,png/wm-cc0-classic__oa-sn-mv-pbw.png,svg/wm-cc0-classic__oa-sn-mv-pbw.svg,e3c8646e10b4c3cafc92a26cee7d1b17d312a35b4f973f77b3ff67beab00db91,ce55ca91c13b670d6c58d007cf00adb8e4f1fc225aa51eb1312743c8e956e54b,0.3211382136625402,0.8530927453357344,0.0012506206814348417,0.24389069829301963,2.059891247081372,0.4555898515692527,"{""fixation_baked_in"":false,""material_value_ranges"":{""black"":[20,58],""gray"":[103,186],""white"":[132,244]},""palette_values"":{""black"":43,""gray"":154,""white"":201},""render"":{""background_color"":""black"",""figure_color"":""white"",""figure_region"":""vase"",""fixation_baked_in"":false,""shade_color"":"""",""shadow_dx"":0.0,""shadow_dy"":0.0,""shadow_max_radius"":0.065,""shadow_min_abs_component"":0.02,""shadow_pair_mirrored"":false,""shadow_seed"":4519620013403108661,""third_color"":""gray""}}"
wm-cc0-classic__oa-sn-mv-pgb,wm-cc0-classic,wm-cc0-classic,596EEB6B073D2C83ECB93EDF53BF7EB1B7ADF8A7511997D49E7535B276479706,CC0-1.0,outline-ambiguous__shading-none__material-vase__polarity-outer-gray_center-black,oa-sn-mv-pgb,ambiguous,none,vase,outer-gray_center-black,vase,,material,vase,black,gray,white,,0.0,0.0,False,12790292354817342184,78108,v2,png/wm-cc0-classic__oa-sn-mv-pgb.png,svg/wm-cc0-classic__oa-sn-mv-pgb.svg,542df88c189b2f524e5fb58fd78fd9263d6ee8238f03c9bff84cf8b95fa11658,be90129f0a1458d373f9ae1f897f241649036a33adcd590425446933eba975c1,0.4983708811741248,0.37418798613902166,0.0008814836876832844,0.24389069829301963,2.059891247081372,0.4555898515692527,"{""fixation_baked_in"":false,""material_value_ranges"":{""black"":[20,58],""gray"":[103,186],""white"":[132,244]},""palette_values"":{""black"":43,""gray"":154,""white"":201},""render"":{""background_color"":""gray"",""figure_color"":""black"",""figure_region"":""vase"",""fixation_baked_in"":false,""shade_color"":"""",""shadow_dx"":0.0,""shadow_dy"":0.0,""shadow_max_radius"":0.065,""shadow_min_abs_component"":0.02,""shadow_pair_mirrored"":false,""shadow_seed"":12790292354817342184,""third_color"":""white""}}"
wm-cc0-classic__oa-sn-mv-pgw,wm-cc0-classic,wm-cc0-classic,596EEB6B073D2C83ECB93EDF53BF7EB1B7ADF8A7511997D49E7535B276479706,CC0-1.0,outline-ambiguous__shading-none__material-vase__polarity-outer-gray_center-white,oa-sn-mv-pgw,ambiguous,none,vase,outer-gray_center-white,vase,,material,vase,white,gray,black,,0.0,0.0,False,10405285888287943293,78108,v2,png/wm-cc0-classic__oa-sn-mv-pgw.png,svg/wm-cc0-classic__oa-sn-mv-pgw.svg,2906046350b97d10c3425b48cef67e6aff8fa2e960950ff9f962dac3cc50e6cd,6cabdf743e139098994fc412e85df90f3bb01c2fd979943dc0a52c585ca68349,0.6500975440530214,0.15237154241495937,0.0005715809662085753,0.24389069829301963,2.059891247081372,0.4555898515692527,"{""fixation_baked_in"":false,""material_value_ranges"":{""black"":[20,58],""gray"":[103,186],""white"":[132,244]},""palette_values"":{""black"":43,""gray"":154,""white"":201},""render"":{""background_color"":""gray"",""figure_color"":""white"",""figure_region"":""vase"",""fixation_baked_in"":false,""shade_color"":"""",""shadow_dx"":0.0,""shadow_dy"":0.0,""shadow_max_radius"":0.065,""shadow_min_abs_component"":0.02,""shadow_pair_mirrored"":false,""shadow_seed"":10405285888287943293,""third_color"":""black""}}"
